Rank,Institution Name (RSSD ID),Location,12/31/2016 Total Assets
93,OLD NATIONAL BANCORP (1098303),"EVANSVILLE, IN","$14,860,359 "
94,"BANCORPSOUTH, INC. (1097614)","TUPELO, MS","$14,728,837 "
95,ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY","$14,558,652 "
96,CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA","$14,520,769 "
97,"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV","$14,508,892 "
98,STERLING BANCORP (3083291),"MONTEBELLO, NY","$14,212,535 "
99,"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI","$14,053,094 "
100,"HOPE BANCORP, INC. (2961879)","LOS ANGELES, CA","$13,441,422 "
101,TRUSTMARK CORPORATION (1079562),"JACKSON, MS","$13,352,333 "
102,MIDLAND FINANCIAL CO. (2568278),"OKLAHOMA CITY, OK","$13,299,955 "
103,"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH","$13,189,828 "
104,"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY","$12,907,412 "
105,"HILLTOP HOLDINGS, INC (3838727)","DALLAS, TX","$12,738,062 "
106,"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO","$12,693,896 "
107,"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI","$12,425,506 "
108,FIRST BANCORP (2744894),"SAN JUAN, PR","$11,922,455 "
109,INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX","$11,804,041 "
110,BREMER FINANCIAL CORPORATION (1020180),"SAINT PAUL, MN","$11,570,247 "
111,"GREAT WESTERN BANCORP, INC. (4809920)","SIOUX FALLS, SD","$11,422,617 "
112,"FIRST MIDWEST BANCORP, INC. (1208184)","ITASCA, IL","$11,422,555 "
113,"PINNACLE FINANCIAL PARTNERS, INC. (2925657)","NASHVILLE, TN","$11,194,623 "
114,"BANC OF CALIFORNIA, INC. (3153130)","IRVINE, CA","$11,029,853 "
115,"UNITED COMMUNITY BANKS, INC. (1249347)","BLAIRSVILLE, GA","$10,715,518 "
