"Id_Rssd","Activity"
1922220,"COMMERCIAL BANKING"
1171840,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1171886,"COMMERCIAL BANKING"
1172913,"COMMERCIAL BANKING"
4751850,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
4837437,"COMMERCIAL BANKING"
3614565,"COMMERCIAL BANKING"
3685435,"COMMERCIAL BANKING"
1388077,"COMMERCIAL BANKING"
1184475,"COMMERCIAL BANKING"
1180244,"COMMERCIAL BANKING"
1181698,"COMMERCIAL BANKING"
2253770,"COMMERCIAL BANKING"
3224357,"COMMERCIAL BANKING"
1171877,"COMMERCIAL BANKING"
1171907,"COMMERCIAL BANKING"
1173022,"COMMERCIAL BANKING"
1174524,"COMMERCIAL BANKING"
1183759,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
2444336,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
2719155,"COMMERCIAL BANKING"
3270000,"COMMERCIAL BANKING"
3345597,"COMMERCIAL BANKING"
3382547,"CREDIT CARD ISSUING"
3472635,"COMMERCIAL BANKING"
3594863,"COMMERCIAL BANKING"
3608331,"COMMERCIAL BANKING"
4096832,"COMMERCIAL BANKING"
5036246,"TRUSTS, ESTATES, AND AGENCY ACCOUNTS"
2768733,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
2162966,"INVESTMENT BANKING AND SECURITIES DEALING"
4706597,"COMMERCIAL BANKING"
3936726,"COMMERCIAL BANKING"
3968071,"COMMERCIAL BANKING"
3936717,"COMMERCIAL BANKING"
3958522,"COMMERCIAL BANKING"
3820290,"OFFICES OF BANK HOLDING COMPANIES"
3820272,"OFFICES OF BANK HOLDING COMPANIES"
4368883,"OFFICES OF BANK HOLDING COMPANIES"
1456501,"COMMERCIAL BANKING"
2489805,"COMMERCIAL BANKING"
2277860,"OFFICES OF BANK HOLDING COMPANIES"
112837,"COMMERCIAL BANKING"
2253891,"COMMERCIAL BANKING"
4196291,"INTERNATIONAL TRADE FINANCING"
2380443,"INVESTMENT BANKING AND SECURITIES DEALING"
3936276,"COMMERCIAL BANKING"
4898906,"COMMERCIAL BANKING"
3932661,"COMMERCIAL BANKING"
3934508,"COMMERCIAL BANKING"
2182786,"COMMERCIAL BANKING"
3984893,"COMMERCIAL BANKING"
3066025,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
3574650,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
2903075,"COMMERCIAL BANKING"
2816906,"OFFICES OF BANK HOLDING COMPANIES"
1032473,"OFFICES OF BANK HOLDING COMPANIES"
670560,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
214807,"COMMERCIAL BANKING"
304913,"COMMERCIAL BANKING"
1413027,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
2325882,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
3226762,"OFFICES OF BANK HOLDING COMPANIES"
63069,"COMMERCIAL BANKING"
74711,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
3783948,"COMMERCIAL BANKING"
3232316,"OFFICES OF BANK HOLDING COMPANIES"
1020201,"OFFICES OF BANK HOLDING COMPANIES"
3357620,"COMMERCIAL BANKING"
413208,"COMMERCIAL BANKING"
569039,"INTERNATIONAL TRADE FINANCING"
753276,"INTERNATIONAL TRADE FINANCING"
3242838,"OFFICES OF BANK HOLDING COMPANIES"
233031,"COMMERCIAL BANKING"
3587146,"OFFICES OF BANK HOLDING COMPANIES"
398668,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
541101,"COMMERCIAL BANKING"
720317,"INTERNATIONAL TRADE FINANCING"
1174083,"COMMERCIAL BANKING"
1178867,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
3366305,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
3366314,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
3938841,"COMMERCIAL BANKING"
3938373,"COMMERCIAL BANKING"
978819,"INTERNATIONAL TRADE FINANCING"
1170209,"COMMERCIAL BANKING"
2761583,"COMMERCIAL BANKING"
2781282,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
934329,"COMMERCIAL BANKING"
1023220,"OFFICES OF BANK HOLDING COMPANIES"
488318,"COMMERCIAL BANKING"
1971901,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
